parameter,value
il10_complex_jak1_binding,-0.1639215459642825
SOCS3_il6r_unbinding,-1.7675907818950962
il6_jak1_med_STAT1_act,-2.1465887585855232
pSTAT1_rec_dissoc,0.13432466163478243
il6_complex_jak2_binding,-0.4634001215189183
JAK2_0,-0.7175532362697761
SOCS3_gp130_binding,0.2579790372033677
SOCS3_gp130_unbinding,-1.8794608787552765
il6_complex_jak2_unbinding,-1.2517401223187745
SOCS3_il6r_binding,-0.026058642924840586
SOCS1_jak1_unbinding,-0.8157030998301754
STAT3_SOCS1_ind,-1.4934270510114795
il6_complex_jak1_unbinding,-2.2178525681769545
il10_complex_jak1_unbinding,-0.8210961433110621
il10_il10r1_unbinding,0.45835256899517723
STAT1_SOCS3_ind,-0.6482432904868272
il6r_gp130_binding,-1.2526978418463621
GP130_0,0.8156800984771632
il10_jak1_med_STAT3_act,0.5838371892835289
IL6R_0,0.8991336907127832
S3_0,0.22026907045178643
S1_0,0.9109432649114929
JAK1_0,0.7520670217185813
PTP3_0,-0.44339149514334975
pSTAT3_rec_dissoc,-0.599305072599149
il6_complex_jak1_binding,-1.1812987171133027
il10_jak1_med_STAT1_act,-1.0773282186300328
il10r1_il10r2_unbinding,-0.5862990995950546
il10r1_il10r2_binding,-0.9985484440109755
PTP_med_STAT3_deact,-0.4401513465008923
il6r_gp130_unbinding,-1.8134347526310972
il10_il10r1_binding,0.018800069244787446
IL10R2_0,0.33639705798178177
PTP1_0,-0.4926371105625635
il6_jak1_med_STAT3_act,-1.4599022910719364
SOCS3_degrad,-1.2005642470128544
SOCS1_degrad,-0.7660407682886804
IL10R1_0,0.011894888356423312
il6_jak2_med_STAT3_act,0.32568573663983197
STAT1_SOCS1_ind,-2.080441128380146
PTP_med_STAT1_deact,-0.43920067380945876
il6_il6r_binding,-1.3980933759646739
STAT3_SOCS3_ind,-1.812877188669587
il6_il6r_unbinding,-1.4699056446970187
il6_jak2_med_STAT1_act,-2.491029751676062
SOCS1_jak1_binding,2.25524464863455